2025-05-29 21:03:49,658 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:49,749 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:49,815 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:49,893 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:49,977 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,053 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,147 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,229 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,327 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,404 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,470 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,540 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,615 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,703 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,782 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,863 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:50,961 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,051 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,125 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,205 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,384 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,541 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,770 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,870 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:51,924 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,003 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,074 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,139 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,215 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,283 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,364 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,460 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,550 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,626 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,694 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,762 - INFO - [IDS] Scan Type: Horizontal Scan (Port Scan), Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
2025-05-29 21:03:52,838 - INFO - [IDS] Scan Type: Port Sweep, Source IP: 209.127.202.183, Destination IP: 192.168.0.108, Source Port: 443, Destination Port: None, Protocol: TCP
