feature,mean_importance
Tot size,-2.1965707295848457e-05
IPv,-7.771561172376095e-17
syn_flag_number,-6.938893903907228e-17
SSH,-6.938893903907228e-17
HTTP,-6.938893903907228e-17
rst_count,-6.106226635438361e-17
Rate,-5.551115123125783e-17
syn_count,-5.551115123125783e-17
ack_count,-5.551115123125783e-17
Header_Length,-5.2735593669694933e-17
TCP,-5.2735593669694933e-17
Telnet,-5.2735593669694933e-17
ece_flag_number,-5.2735593669694933e-17
DHCP,-4.9960036108132046e-17
Protocol Type,-4.718447854656915e-17
IAT,-4.718447854656915e-17
rst_flag_number,-4.718447854656915e-17
ICMP,-4.718447854656915e-17
DNS,-4.163336342344337e-17
LLC,-4.163336342344337e-17
fin_flag_number,-4.163336342344337e-17
IGMP,-3.8857805861880476e-17
Number,-3.3306690738754695e-17
psh_flag_number,-3.3306690738754695e-17
SMTP,-3.3306690738754695e-17
UDP,-3.3306690738754695e-17
cwr_flag_number,-3.3306690738754695e-17
fin_count,-3.3306690738754695e-17
ack_flag_number,-2.7755575615628914e-17
Time_To_Live,-2.7755575615628914e-17
HTTPS,-1.9428902930940238e-17
AVG,-1.3877787807814457e-17
ARP,-1.3877787807814457e-17
IRC,-5.551115123125783e-18
Min,0.0002318090702294967
Tot sum,0.027801418773882435
Max,0.0303887541965329
Std,1.8642937428515591
